Dataset,Model,Parameter,Bias,RelativeBias,MSE,Coverage,ESS,Rhat
Shift,Fix,Gamma_1,0.052920999999999996,0.29400555392219135,0.004283475200289999,1.0,138.319,1.0081
Shift,Fix,Gamma_2,-0.1651185,-1.65118498348815,0.028352426152500002,0.0,218.809,1.00483
Shift,Fix,Gamma_3,0.220979,3.1568428120451024,0.049612988022440005,0.0,829.425,1.00182
Shift,Fix,Gamma_4,-0.046065999999999996,-0.30710666461928887,0.0027833272950399997,0.0,456.263,1.00666
Shift,Fix,gamma_latent_1,-0.00492999999999999,-0.006162499992296862,0.0016045741067599998,1.0,78.4067,1.02274
Shift,Fix,gamma_latent_2,0.62565,1.2512999974974002,0.39514550242201,0.0,44.3607,1.03847
Shift,Fix,gamma_latent_3,-0.737447,-0.6145391661545506,0.54408798057125,0.0,130.892,1.02145
Shift,Fix,gamma_latent_4,-0.02499499999999999,-0.027772222191364188,0.0016770711852499998,1.0,68.2193,1.04779
Shift,Fix,lambda_1,-0.025439999999999907,-0.021199999982333254,0.009620511801759993,1.0,185.196,1.00974
Shift,Fix,lambda_2,0.62758,0.15689499996077624,0.762268023361,1.0,467.592,1.0082
Shift,Fix,lambda_3,0.5346299999999999,0.13039756094380547,0.724257292221,1.0,452.405,1.00566
Shift,Fix,lambda_4,0.31445999999999996,0.10143870964469717,0.170483612841,1.0,811.042,1.00812
Shift,Fix,lambda_5,0.22440000000000015,0.04315384614554736,0.21484644062500008,1.0,573.669,1.00371
Shift,Fix,lambda_6,0.2834599999999998,0.09448666663517105,0.1203183776839999,1.0,800.994,1.00453
Shift,Fix,lambda_7,0.07418999999999998,0.04364117644491694,0.011758893851609997,1.0,226.756,1.01378
Shift,Shift,Gamma_1,0.6008800000000001,3.338222203676544,0.3747368838440001,0.0,590.578,1.0084
Shift,Shift,Gamma_2,0.145792,1.4579199854208,0.03091202500996,1.0,664.913,1.00667
Shift,Shift,Gamma_3,0.7158899999999999,10.2269998539,0.5226928271889999,0.0,898.359,1.00417
Shift,Shift,Gamma_4,0.23681300000000002,1.5787533228083115,0.06480808573741001,0.0,849.564,1.00552
Shift,Shift,lambda_1,1.7497900000000002,1.4581583321182015,3.1134908135890007,0.0,1316.81,1.00129
Shift,Shift,lambda_2,3.10572,0.7764299998058924,10.277637793729,0.0,439.769,1.00421
Shift,Shift,lambda_3,5.318110000000001,1.2970999996836343,30.485559207700007,0.0,688.807,1.00561
Shift,Shift,lambda_4,2.87632,0.9278451609910177,8.4904473088,0.0,1370.0,1.00044
Shift,Shift,lambda_5,3.36981,0.6480403844907615,11.792297221956002,0.0,603.223,1.00254
Shift,Shift,lambda_6,2.43665,0.8122166663959278,6.047546990600002,0.0,1315.32,1.00692
Shift,Shift,lambda_7,1.51976,0.8939764700623668,2.3262117613689997,0.0,1141.75,1.00159
Std,Fix,Gamma_1,0.016658000000000006,0.09254444393030868,0.0007381407478400002,1.0,279.685,1.01292
Std,Fix,Gamma_2,-0.16923749999999999,-1.69237498307625,0.029064756681539995,0.0,468.557,1.01025
Std,Fix,Gamma_3,0.16759580000000002,2.3942256800824904,0.02846952313460001,0.0,1648.18,1.00169
Std,Fix,Gamma_4,0.004590000000000011,0.030599999796000074,0.0003749744937600001,1.0,1347.65,1.00101
Std,Fix,lambda_1,-0.19456000000000007,-0.16213333319822226,0.05283706724900003,1.0,1652.15,1.0014
Std,Fix,lambda_2,0.16021000000000019,0.04005249998998692,0.12017614502900005,1.0,1020.39,1.00213
Std,Fix,lambda_3,0.17643000000000075,0.04303170730657782,0.18045105267600026,1.0,1738.56,1.00292
Std,Fix,lambda_4,0.15071000000000012,0.04861612901657548,0.06434378532500003,1.0,2476.28,1.00148
Std,Fix,lambda_5,-0.06186000000000025,-0.011896153843866171,0.07161815502400003,1.0,1111.83,1.00558
Std,Fix,lambda_6,-0.11691999999999991,-0.03897333332034219,0.02939469400899998,1.0,2082.22,1.0015
Std,Fix,lambda_7,-0.02224999999999988,-0.013088235286418615,0.005860961955289995,1.0,1918.72,1.00086
Std,Shift,Gamma_1,0.00925200000000001,0.051399999714444505,0.0005084858256400002,1.0,344.252,1.00521
Std,Shift,Gamma_2,-0.1651361,-1.6513609834863903,0.027656061883250004,0.0,729.153,1.00188
Std,Shift,Gamma_3,0.1663902,2.3770028231856735,0.028048182177039995,0.0,2202.8,1.00072
Std,Shift,Gamma_4,0.0049949999999999994,0.033299999778,0.0003749430306099999,1.0,1167.12,1.00066
Std,Shift,lambda_1,-0.17554000000000003,-0.14628333321143058,0.04598858945600001,1.0,2761.4,1.00013
Std,Shift,lambda_2,0.17250000000000032,0.04312499998921883,0.1171781815840001,1.0,1240.63,1.00116
Std,Shift,lambda_3,0.17555000000000032,0.0428170731602886,0.17259113728400008,1.0,1886.87,1.00107
Std,Shift,lambda_4,0.15077000000000007,0.048635483855278897,0.06426236458100001,1.0,2671.24,1.00055
Std,Shift,lambda_5,-0.04424000000000028,-0.008507692306056266,0.07029027443600004,1.0,1046.33,1.00453
Std,Shift,lambda_6,-0.11073000000000022,-0.036909999987696736,0.02834064092500005,1.0,1890.9,1.00079
Std,Shift,lambda_7,-0.019399999999999862,-0.011411764699169468,0.0059841531790399945,1.0,1823.85,1.00034
